alpha CL
-25 -0.5523
-24.5 -0.544
-22 -0.5078
-21.5 -0.5004
-21 -0.4956
-20.5 -0.4853
-20 -0.488
-19.5 -0.4722
-19 -0.4668
-18.5 -0.4628
-18 -0.4529
-17.5 -0.4564
-17 -0.4436
-16.5 -0.4592
-16 -0.4387
-14.5 -0.976
-14 -1.0301
-13.5 -1.017
-13 -1.0243
-12.5 -1.0419
-12 -1.0515
-11.5 -1.0318
-11 -1.0034
-10.5 -0.9788
-10 -0.945
-9.5 -0.9135
-9 -0.8797
-8.5 -0.8465
-8 -0.8136
-7.5 -0.7803
-7 -0.747
-6.5 -0.7127
-6 -0.6765
-5.5 -0.5996
-5 -0.5218
-4.5 -0.4455
-4 -0.3743
-3.5 -0.2998
-3 -0.2308
-2.5 -0.1671
-2 -0.113
-1.5 -0.0606
-1 -0.0098
-0.5 0.0408
0 0.0928
0.5 0.1468
1 0.2052
1.5 0.2752
2 0.3527
2.5 0.4313
3 0.5146
3.5 0.5983
4 0.6505
4.5 0.6927
5 0.7341
5.5 0.7753
6 0.816
6.5 0.8564
7 0.8969
7.5 0.9365
8 0.9765
8.5 1.0154
9 1.0541
9.5 1.0907
10 1.1235
10.5 1.1518
11 1.1732
11.5 1.1905
12 1.2085
12.5 1.2235
13 1.239
13.5 1.2505
14 1.2602
14.5 1.2687
15 1.2755
15.5 1.279
16 1.2865
16.5 1.2795
17 1.2837
17.5 1.2783
18 1.26
18.5 1.2458
19 1.2548
19.5 1.2092
20 1.1459
22.5 0.9278
23 0.9485
23.5 0.9579
24 0.9762
24.5 0.9883
25 1.005
